TIME,GEO,UNIT,DURATION,PARTNER,Value
2009,DE,PC_POP,N_GE4,OUT,36
2009,DE,PC_POP,N_GE4,WORLD,65.8
2009,EE,PC_POP,N_GE1,DOM,:
2009,EE,PC_POP,N_GE1,DOT,:
2009,EE,PC_POP,N_GE1,OUT,:
2009,EE,PC_POP,N_GE1,WORLD,:
2009,EE,PC_POP,N1-3,DOM,:
2009,EE,PC_POP,N1-3,DOT,:
2009,EE,PC_POP,N1-3,OUT,:
2009,EE,PC_POP,N1-3,WORLD,:
2009,EE,PC_POP,N_GE4,DOM,8.4
2009,EE,PC_POP,N_GE4,DOT,7.1
2009,EE,PC_POP,N_GE4,OUT,23.4
2009,EE,PC_POP,N_GE4,WORLD,39
2009,IE,PC_POP,N_GE1,DOM,:
2009,IE,PC_POP,N_GE1,DOT,:
2009,IE,PC_POP,N_GE1,OUT,:
2009,IE,PC_POP,N_GE1,WORLD,:
2009,IE,PC_POP,N1-3,DOM,:
2009,IE,PC_POP,N1-3,DOT,:
2009,IE,PC_POP,N1-3,OUT,:
2009,IE,PC_POP,N1-3,WORLD,:
2009,IE,PC_POP,N_GE4,DOM,:
2009,IE,PC_POP,N_GE4,DOT,:
2009,IE,PC_POP,N_GE4,OUT,:
2009,IE,PC_POP,N_GE4,WORLD,:
2009,EL,PC_POP,N_GE1,DOM,:
2009,EL,PC_POP,N_GE1,DOT,:
2009,EL,PC_POP,N_GE1,OUT,:
2009,EL,PC_POP,N_GE1,WORLD,:
2009,EL,PC_POP,N1-3,DOM,:
2009,EL,PC_POP,N1-3,DOT,:
2009,EL,PC_POP,N1-3,OUT,:
2009,EL,PC_POP,N1-3,WORLD,:
2009,EL,PC_POP,N_GE4,DOM,36.4
2009,EL,PC_POP,N_GE4,DOT,0.7
2009,EL,PC_POP,N_GE4,OUT,4.2
2009,EL,PC_POP,N_GE4,WORLD,41.2
2009,ES,PC_POP,N_GE1,DOM,:
2009,ES,PC_POP,N_GE1,DOT,:
2009,ES,PC_POP,N_GE1,OUT,:
2009,ES,PC_POP,N_GE1,WORLD,:
2009,ES,PC_POP,N1-3,DOM,:
2009,ES,PC_POP,N1-3,DOT,:
2009,ES,PC_POP,N1-3,OUT,:
2009,ES,PC_POP,N1-3,WORLD,:
2009,ES,PC_POP,N_GE4,DOM,31.1
2009,ES,PC_POP,N_GE4,DOT,4.7
2009,ES,PC_POP,N_GE4,OUT,5.9
2009,ES,PC_POP,N_GE4,WORLD,41.6
2009,FR,PC_POP,N_GE1,DOM,:
2009,FR,PC_POP,N_GE1,DOT,:
2009,FR,PC_POP,N_GE1,OUT,:
2009,FR,PC_POP,N_GE1,WORLD,:
2009,FR,PC_POP,N1-3,DOM,:
2009,FR,PC_POP,N1-3,DOT,:
2009,FR,PC_POP,N1-3,OUT,:
2009,FR,PC_POP,N1-3,WORLD,:
2009,FR,PC_POP,N_GE4,DOM,44.9
2009,FR,PC_POP,N_GE4,DOT,13.6
2009,FR,PC_POP,N_GE4,OUT,6.5
2009,FR,PC_POP,N_GE4,WORLD,65
2009,HR,PC_POP,N_GE1,DOM,:
2009,HR,PC_POP,N_GE1,DOT,:
2009,HR,PC_POP,N_GE1,OUT,:
2009,HR,PC_POP,N_GE1,WORLD,:
2009,HR,PC_POP,N1-3,DOM,:
2009,HR,PC_POP,N1-3,DOT,:
2009,HR,PC_POP,N1-3,OUT,:
2009,HR,PC_POP,N1-3,WORLD,:
2009,HR,PC_POP,N_GE4,DOM,24.5
2009,HR,PC_POP,N_GE4,DOT,6.4
2009,HR,PC_POP,N_GE4,OUT,7
2009,HR,PC_POP,N_GE4,WORLD,38
2009,IT,PC_POP,N_GE1,DOM,:
2009,IT,PC_POP,N_GE1,DOT,:
2009,IT,PC_POP,N_GE1,OUT,:
2009,IT,PC_POP,N_GE1,WORLD,:
2009,IT,PC_POP,N1-3,DOM,:
2009,IT,PC_POP,N1-3,DOT,:
2009,IT,PC_POP,N1-3,OUT,:
2009,IT,PC_POP,N1-3,WORLD,:
2009,IT,PC_POP,N_GE4,DOM,30.7
2009,IT,PC_POP,N_GE4,DOT,7.8
2009,IT,PC_POP,N_GE4,OUT,10.1
2009,IT,PC_POP,N_GE4,WORLD,48.6
2009,CY,PC_POP,N_GE1,DOM,:
2009,CY,PC_POP,N_GE1,DOT,:
2009,CY,PC_POP,N_GE1,OUT,:
2009,CY,PC_POP,N_GE1,WORLD,:
2009,CY,PC_POP,N1-3,DOM,:
2009,CY,PC_POP,N1-3,DOT,:
2009,CY,PC_POP,N1-3,OUT,:
2009,CY,PC_POP,N1-3,WORLD,:
2009,CY,PC_POP,N_GE4,DOM,:
2009,CY,PC_POP,N_GE4,DOT,:
2009,CY,PC_POP,N_GE4,OUT,:
2009,CY,PC_POP,N_GE4,WORLD,:
2009,LV,PC_POP,N_GE1,DOM,:
2009,LV,PC_POP,N_GE1,DOT,:
2009,LV,PC_POP,N_GE1,OUT,:
2009,LV,PC_POP,N_GE1,WORLD,:
2009,LV,PC_POP,N1-3,DOM,:
2009,LV,PC_POP,N1-3,DOT,:
2009,LV,PC_POP,N1-3,OUT,:
2009,LV,PC_POP,N1-3,WORLD,:
2009,LV,PC_POP,N_GE4,DOM,10.2
2009,LV,PC_POP,N_GE4,DOT,0.3
2009,LV,PC_POP,N_GE4,OUT,7.2
2009,LV,PC_POP,N_GE4,WORLD,17.7
2009,LT,PC_POP,N_GE1,DOM,:
2009,LT,PC_POP,N_GE1,DOT,:
2009,LT,PC_POP,N_GE1,OUT,:
2009,LT,PC_POP,N_GE1,WORLD,:
2009,LT,PC_POP,N1-3,DOM,:
2009,LT,PC_POP,N1-3,DOT,:
2009,LT,PC_POP,N1-3,OUT,:
2009,LT,PC_POP,N1-3,WORLD,:
2009,LT,PC_POP,N_GE4,DOM,9.7
2009,LT,PC_POP,N_GE4,DOT,:
2009,LT,PC_POP,N_GE4,OUT,19.3
2009,LT,PC_POP,N_GE4,WORLD,29.5
2009,LU,PC_POP,N_GE1,DOM,:
2009,LU,PC_POP,N_GE1,DOT,:
2009,LU,PC_POP,N_GE1,OUT,:
2009,LU,PC_POP,N_GE1,WORLD,:
2009,LU,PC_POP,N1-3,DOM,:
2009,LU,PC_POP,N1-3,DOT,:
2009,LU,PC_POP,N1-3,OUT,:
2009,LU,PC_POP,N1-3,WORLD,:
2009,LU,PC_POP,N_GE4,DOM,:
2009,LU,PC_POP,N_GE4,DOT,:
2009,LU,PC_POP,N_GE4,OUT,76.6
2009,LU,PC_POP,N_GE4,WORLD,77.5
2009,HU,PC_POP,N_GE1,DOM,:
2009,HU,PC_POP,N_GE1,DOT,:
2009,HU,PC_POP,N_GE1,OUT,:
2009,HU,PC_POP,N_GE1,WORLD,:
2009,HU,PC_POP,N1-3,DOM,:
2009,HU,PC_POP,N1-3,DOT,:
2009,HU,PC_POP,N1-3,OUT,:
2009,HU,PC_POP,N1-3,WORLD,:
2009,HU,PC_POP,N_GE4,DOM,30.5
2009,HU,PC_POP,N_GE4,DOT,3.5
2009,HU,PC_POP,N_GE4,OUT,10.9
2009,HU,PC_POP,N_GE4,WORLD,45
2009,MT,PC_POP,N_GE1,DOM,:
2009,MT,PC_POP,N_GE1,DOT,:
2009,MT,PC_POP,N_GE1,OUT,:
2009,MT,PC_POP,N_GE1,WORLD,:
2009,MT,PC_POP,N1-3,DOM,:
2009,MT,PC_POP,N1-3,DOT,:
2009,MT,PC_POP,N1-3,OUT,:
2009,MT,PC_POP,N1-3,WORLD,:
2009,MT,PC_POP,N_GE4,DOM,:
2009,MT,PC_POP,N_GE4,DOT,:
2009,MT,PC_POP,N_GE4,OUT,40.4
2009,MT,PC_POP,N_GE4,WORLD,40.4
2009,NL,PC_POP,N_GE1,DOM,:
2009,NL,PC_POP,N_GE1,DOT,:
2009,NL,PC_POP,N_GE1,OUT,:
2009,NL,PC_POP,N_GE1,WORLD,:
2009,NL,PC_POP,N1-3,DOM,:
2009,NL,PC_POP,N1-3,DOT,:
2009,NL,PC_POP,N1-3,OUT,:
2009,NL,PC_POP,N1-3,WORLD,:
2009,NL,PC_POP,N_GE4,DOM,14.1
2009,NL,PC_POP,N_GE4,DOT,29.3
2009,NL,PC_POP,N_GE4,OUT,25.5
2009,NL,PC_POP,N_GE4,WORLD,68.9
2009,AT,PC_POP,N_GE1,DOM,:
2009,AT,PC_POP,N_GE1,DOT,:
2009,AT,PC_POP,N_GE1,OUT,:
2009,AT,PC_POP,N_GE1,WORLD,:
2009,AT,PC_POP,N1-3,DOM,:
2009,AT,PC_POP,N1-3,DOT,:
2009,AT,PC_POP,N1-3,OUT,:
2009,AT,PC_POP,N1-3,WORLD,:
2009,AT,PC_POP,N_GE4,DOM,10.4
2009,AT,PC_POP,N_GE4,DOT,31.1
2009,AT,PC_POP,N_GE4,OUT,17.1
